No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Scan List,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,Encryption Type,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,Digi APRS RX,Analog APRS PTT Mode,Digital APRS PTT Mode,APRS Report Type,Digital APRS Report Channel,Correct Frequency[Hz],SMS Confirmation
348,Roxana SE FL,448.725,443.725,D-Digital,High,12.5K,Off,Off,South-East-FL,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
349,Roxana Parrot,448.725,443.725,D-Digital,High,12.5K,Off,Off,Parrot,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
350,Summer Tri-State,442.45,447.45,D-Digital,High,12.5K,Off,Off,Tri-State Local2,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
351,Summer NA,442.45,447.45,D-Digital,High,12.5K,Off,Off,North Am,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
352,Summer Local,442.45,447.45,D-Digital,High,12.5K,Off,Off,LOCAL,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
353,Summer Tac 1,442.45,447.45,D-Digital,High,12.5K,Off,Off,TAC 1,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
354,Summer TAC 2,442.45,447.45,D-Digital,High,12.5K,Off,Off,TAC 2,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
355,Summer TAC 3,442.45,447.45,D-Digital,High,12.5K,Off,Off,TAC 3,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
356,Summer TAC310,442.45,447.45,D-Digital,High,12.5K,Off,Off,TAC310,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
357,Summer TAC311,442.45,447.45,D-Digital,High,12.5K,Off,Off,TAC311,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
358,Summer TAC312,442.45,447.45,D-Digital,High,12.5K,Off,Off,TAC312,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
359,Summer TAC 317,442.45,447.45,D-Digital,High,12.5K,Off,Off,TAC 317,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
360,Summer NJ-State,442.45,447.45,D-Digital,High,12.5K,Off,Off,NJ-State,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
361,Summer NY SW,442.45,447.45,D-Digital,High,12.5K,Off,Off,NY SW,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
362,Summer PA-State,442.45,447.45,D-Digital,High,12.5K,Off,Off,PA-State,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
363,Summer NorthEast,442.45,447.45,D-Digital,High,12.5K,Off,Off,N-EAST,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
364,Summer SouthEast,442.45,447.45,D-Digital,High,12.5K,Off,Off,South East,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
365,Summer BM-3100,442.45,447.45,D-Digital,High,12.5K,Off,Off,BM-3100,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
366,Summer FirstCoas,442.45,447.45,D-Digital,High,12.5K,Off,Off,BM-First-Coast,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
367,Summer SE FL,442.45,447.45,D-Digital,High,12.5K,Off,Off,South-East-FL,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
368,Summer Parrot,442.45,447.45,D-Digital,High,12.5K,Off,Off,Parrot,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
369,Pimple Tri-State,447.275,442.275,D-Digital,High,12.5K,Off,Off,Tri-State Local2,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
370,Pimple NA,447.275,442.275,D-Digital,High,12.5K,Off,Off,North Am,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
371,Pimple Local,447.275,442.275,D-Digital,High,12.5K,Off,Off,LOCAL,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
372,Pimple Tac 1,447.275,442.275,D-Digital,High,12.5K,Off,Off,TAC 1,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
373,Pimple TAC 2,447.275,442.275,D-Digital,High,12.5K,Off,Off,TAC 2,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
374,Pimple TAC 3,447.275,442.275,D-Digital,High,12.5K,Off,Off,TAC 3,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
375,Pimple TAC310,447.275,442.275,D-Digital,High,12.5K,Off,Off,TAC310,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
376,Pimple TAC311,447.275,442.275,D-Digital,High,12.5K,Off,Off,TAC311,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
377,Pimple TAC312,447.275,442.275,D-Digital,High,12.5K,Off,Off,TAC312,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
378,Pimple TAC 317,447.275,442.275,D-Digital,High,12.5K,Off,Off,TAC 317,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
379,Pimple NJ-State,447.275,442.275,D-Digital,High,12.5K,Off,Off,NJ-State,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
380,Pimple NY SW,447.275,442.275,D-Digital,High,12.5K,Off,Off,NY SW,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
381,Pimple PA-State,447.275,442.275,D-Digital,High,12.5K,Off,Off,PA-State,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
382,Pimple NorthEast,447.275,442.275,D-Digital,High,12.5K,Off,Off,N-EAST,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
383,Pimple SouthEast,447.275,442.275,D-Digital,High,12.5K,Off,Off,South East,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
384,Pimple BM-3100,447.275,442.275,D-Digital,High,12.5K,Off,Off,BM-3100,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
385,Pimple FirstCoas,447.275,442.275,D-Digital,High,12.5K,Off,Off,BM-First-Coast,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
386,Pimple SE FL,447.275,442.275,D-Digital,High,12.5K,Off,Off,South-East-FL,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
387,Pimple Parrot,447.275,442.275,D-Digital,High,12.5K,Off,Off,Parrot,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
388,Montana Tri-Stat,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,Tri-State Local2,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
389,Montana NA,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,North Am,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
390,Montana Local,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,LOCAL,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
391,Montana Tac 1,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,TAC 1,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
392,Montana TAC 2,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,TAC 2,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
393,Montana TAC 3,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,TAC 3,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
394,Montana TAC310,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,TAC310,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
395,Montana TAC311,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,TAC311,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
396,Montana TAC312,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,TAC312,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
397,Montana TAC 317,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,TAC 317,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
398,Montana NJ-State,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,NJ-State,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
399,Montana NY SW,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,NY SW,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
400,Montana PA-State,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,PA-State,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
401,Montana NorthEas,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,N-EAST,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
402,Montana SouthEas,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,South East,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
403,Montana BM-3100,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,BM-3100,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
404,Montana FirstCoa,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,BM-First-Coast,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
405,Montana SE FL,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,South-East-FL,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
406,Montana Parrot,444.29375,449.29375,D-Digital,High,12.5K,Off,Off,Parrot,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,131.8,1,Off,Off,Off,Off,Off,Off,1,0,Off
410,Princeton Penn,442.85,447.85,A-Analog,Turbo,25K,Off,131.8,Tri-State Local2,Group Call,KB1PJD,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,Off,Off,Analog,1,0,Off
411,Lawrence Tower,146.46,147.46,A-Analog,High,25K,Off,131.8,Tri-State Local2,Group Call,KB1PJD,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,Off,Off,Analog,1,0,Off
412,South Brunswick,443.4,448.4,A-Analog,High,25K,Off,141.3,Tri-State Local2,Group Call,KB1PJD,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
415,Boonton WW,439.7875,434.7875,D-Digital,High,12.5K,Off,Off,World Wide,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
416,Boonton TriState,439.7875,434.7875,D-Digital,High,12.5K,Off,Off,Tri-State Local2,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
417,Boonton NA,439.7875,434.7875,D-Digital,High,12.5K,Off,Off,North Am,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
418,Boonton BM NA,439.7875,434.7875,D-Digital,High,12.5K,Off,Off,BM-North-America,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
419,Boonton BMParrot,439.7875,434.7875,D-Digital,High,12.5K,Off,Off,ECHO,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
420,Boonton Echo,439.7875,434.7875,D-Digital,High,12.5K,Off,Off,Parrot,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
421,Harriman WW,443.8,448.8,D-Digital,High,12.5K,Off,Off,World Wide,Group Call,KB1PJD,Always,Carrier,Off,1,1,1,Off,2,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
422,Harriman TriStat,443.8,448.8,D-Digital,High,12.5K,Off,Off,Tri-State Local2,Group Call,KB1PJD,Always,Carrier,Off,1,1,1,Off,2,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
423,Beacon Parrot,441.45,446.45,D-Digital,High,12.5K,Off,Off,Parrot,Group Call,KB1PJD,Always,Carrier,Off,1,1,1,Off,7,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
424,Beacon Upstate,441.45,446.45,D-Digital,High,12.5K,Off,Off,UPSTATE NY,Group Call,KB1PJD,Always,Carrier,Off,1,1,1,Off,7,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
425,Beacon Metro,441.45,446.45,D-Digital,High,12.5K,Off,Off,NY METRO,Group Call,KB1PJD,Always,Carrier,Off,1,1,1,Off,7,2,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
426,Mt Beacon NwE,441.01875,446.01875,D-Digital,High,12.5K,Off,Off,NE WIDE,Group Call,KB1PJD,Always,Carrier,Off,1,1,1,Off,10,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
427,Athens Upstate,442.575,447.575,D-Digital,High,12.5K,Off,Off,UPSTATE NY,Group Call,KB1PJD,Always,Carrier,Off,1,1,1,Off,0,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
428,Athens TriState,442.575,447.575,D-Digital,High,12.5K,Off,Off,NY METRO,Group Call,KB1PJD,Always,Carrier,Off,1,1,1,Off,0,2,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
429,N Bltmre Upstate,449.025,444.025,D-Digital,High,12.5K,Off,Off,UPSTATE NY,Group Call,KB1PJD,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
430,Albany NY State,449.525,444.525,D-Digital,High,12.5K,Off,Off,NY SW,Group Call,KB1PJD,Always,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
431,Schenectady,147.3,147.9,D-Digital,High,12.5K,Off,Off,UPSTATE NY,Group Call,KB1PJD,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
432,Empire State NA,448.275,443.275,D-Digital,High,12.5K,Off,Off,North Am,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,3,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
433,Empire S BM3100,448.275,443.275,D-Digital,High,12.5K,Off,Off,BM-3100,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,3,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
434,Empire State NY,448.275,443.275,D-Digital,High,12.5K,Off,Off,NY SW,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,3,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
435,Empire State UP,448.275,443.275,D-Digital,High,12.5K,Off,Off,UPSTATE NY,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,3,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
436,Empire S 310,448.275,443.275,D-Digital,High,12.5K,Off,Off,TAC310,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,3,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
437,Empire S 311,448.275,443.275,D-Digital,High,12.5K,Off,Off,TAC311,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,3,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
438,Empire S Parrot,448.275,443.275,D-Digital,High,12.5K,Off,Off,Parrot,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,3,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
439,Empire State 9,448.275,443.275,D-Digital,High,12.5K,Off,Off,LOCAL,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,3,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
440,Empire S Metro,448.275,443.275,D-Digital,High,12.5K,Off,Off,NY METRO,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,3,2,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
441,Midtown Metro,442.05,447.05,D-Digital,High,12.5K,Off,Off,NY METRO,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,7,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
442,Midtown Parrot,442.05,447.05,D-Digital,High,12.5K,Off,Off,Parrot,Group Call,KB1PJD,Same Color Code,Carrier,Off,1,1,1,Off,7,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Analog,1,0,Off
443,NYC Local,438.5625,433.5625,D-Digital,High,12.5K,Off,Off,LOCAL,Group Call,KB1PJD,Always,Carrier,Off,1,1,1,Off,3,1,None,None,Off,Off,Off,On,Normal Encryption,Off,On,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off
